feature,block,rows,non_null,zero,nonzero,nonzero_ratio,unique_count,unique_overflow,min,max,mean,std,constant,rare_nonzero,forbidden,leak_suspicious
CT_place_EXTENDEDA,position,3734887,3734887,3651575,83312,0.022306431225362373,6.0,False,0.0,5.0,0.02547359531894807,0.1781317610659501,False,False,False,False
CT_place_FOUNTAIN,position,3734887,3734887,3705452,29435,0.007881095197793132,5.0,False,0.0,4.0,0.008270397471195247,0.09507350372268014,False,False,False,False
CT_place_GARAGE,position,3734887,3734887,3664933,69954,0.01872988392955396,4.0,False,0.0,3.0,0.019055730467882965,0.13912999128628434,False,False,False,False
CT_place_GRAVEYARD,position,3734887,3734887,3730879,4008,0.001073124836173089,3.0,False,0.0,2.0,0.0010760700390667777,0.03287556110738154,False,False,False,False
CT_place_HEAVEN,utility,3734887,3734887,3631963,102924,0.027557460239091572,5.0,False,0.0,4.0,0.030001443149417908,0.18520378749605362,False,False,False,False
CT_place_HELL,utility,3734887,3734887,3679528,55359,0.01482213518106438,6.0,False,0.0,5.0,0.0197714147710493,0.18440239025922966,False,False,False,False
CT_place_HOLE,position,3734887,3734887,3705437,29450,0.007885111383557254,4.0,False,0.0,3.0,0.007952047812959268,0.08957243492715224,False,False,False,False
CT_place_HOUSE,position,3734887,3734887,3584480,150407,0.0402708301482749,6.0,False,0.0,5.0,0.05151695352496608,0.2830559363110187,False,False,False,False
CT_place_HUT,position,3734887,3734887,3702257,32630,0.008736542765550873,4.0,False,0.0,3.0,0.009347003001697241,0.10253661530331318,False,False,False,False
CT_place_HUTROOF,position,3734887,3734887,3663683,71204,0.01906456607656403,4.0,False,0.0,3.0,0.01964423555518547,0.1429073054283709,False,False,False,False
CT_place_IVY,position,3734887,3734887,3717649,17238,0.004615400680127672,6.0,False,0.0,5.0,0.005537249185852209,0.08761811938313269,False,False,False,False
CT_place_JUNGLE,position,3734887,3734887,3651243,83644,0.022395322803608248,5.0,False,0.0,4.0,0.023192134059209824,0.15587026729279335,False,False,False,False
CT_place_LADDER,position,3734887,3734887,3703587,31300,0.008380440961132158,4.0,False,0.0,3.0,0.008665590150384737,0.09616972845761235,False,False,False,False
CT_place_LIBRARY,position,3734887,3734887,3663259,71628,0.019178090260829846,5.0,False,0.0,4.0,0.020959402520076244,0.15596401063478763,False,False,False,False
CT_place_LOBBY,position,3734887,3734887,3693741,41146,0.011016665296701079,6.0,False,0.0,5.0,0.012211614434385832,0.12215789234749012,False,False,False,False
CT_place_LOCKERROOM,position,3734887,3734887,3711063,23824,0.00637877397629433,3.0,False,0.0,2.0,0.0064173293596298895,0.08033217294578208,False,False,False,False
CT_place_LONGA,position,3734887,3734887,3482150,252737,0.06766924943110729,6.0,False,0.0,5.0,0.09100810814356633,0.3743627251433954,False,False,False,False
CT_place_LONGDOG,position,3734887,3734887,3682753,52134,0.0139586552417784,6.0,False,0.0,5.0,0.017111896558048477,0.1533036616188022,False,False,False,False
CT_place_LONGDOORS,position,3734887,3734887,3587952,146935,0.03934121701673973,6.0,False,0.0,5.0,0.04396679203413651,0.228354841190163,False,False,False,False
CT_place_LOWERMID,position,3734887,3734887,3730715,4172,0.0011170351338608102,4.0,False,0.0,3.0,0.0011863812747212967,0.036455739880921656,False,False,False,False
CT_place_LOWERPARK,position,3734887,3734887,3649461,85426,0.022872445672385805,6.0,False,0.0,5.0,0.031426118112810375,0.22382824946179072,False,False,False,False
CT_place_LOWERTUNNEL,position,3734887,3734887,3689643,45244,0.012113887247458892,6.0,False,0.0,5.0,0.014188113321768503,0.13604791778096872,False,False,False,False
CT_place_MAIN,position,3734887,3734887,3685488,49399,0.013226370704120366,6.0,False,0.0,5.0,0.016005838998609596,0.14850947365818085,False,False,False,False
CT_place_MAINHALL,position,3734887,3734887,3700565,34322,0.009189568519743703,6.0,False,0.0,5.0,0.010767394033607979,0.12081787183196581,False,False,False,False
CT_place_MIDDLE,position,3734887,3734887,3441381,293506,0.07858497459227012,6.0,False,0.0,5.0,0.10105285648535016,0.3812569766491857,False,False,False,False
CT_place_MIDDOORS,position,3734887,3734887,3495505,239382,0.0640935053724517,6.0,False,0.0,5.0,0.08271414904922157,0.3464614960445503,False,False,False,False
CT_place_MINI,position,3734887,3734887,3639807,95080,0.02545726283017398,4.0,False,0.0,3.0,0.02606317138912101,0.1631048634598288,False,False,False,False
CT_place_OBSERVATION,position,3734887,3734887,3723653,11234,0.0030078553916089027,5.0,False,0.0,4.0,0.003103976104230195,0.0574220575260193,False,False,False,False
CT_place_OUTSIDE,position,3734887,3734887,3486576,248311,0.06648420688497403,6.0,False,0.0,5.0,0.10202611216885545,0.4651900883096489,False,False,False,False
CT_place_OUTSIDELONG,position,3734887,3734887,3709717,25170,0.006739159712194773,6.0,False,0.0,5.0,0.0076545823206967175,0.09859150173161332,False,False,False,False
CT_place_OUTSIDETUNNEL,position,3734887,3734887,3728208,6679,0.001788273647904207,5.0,False,0.0,4.0,0.0019039397979108872,0.04648186365316959,False,False,False,False
CT_place_PALACEALLEY,position,3734887,3734887,3722990,11897,0.003185370802383044,5.0,False,0.0,4.0,0.0035366531838848135,0.0655014008394934,False,False,False,False
CT_place_PALACEINTERIOR,position,3734887,3734887,3585368,149519,0.040033071951038945,6.0,False,0.0,5.0,0.04638774881274855,0.24538633724852627,False,False,False,False
CT_place_PIT,position,3734887,3734887,3563886,171001,0.04578478545669521,5.0,False,0.0,4.0,0.049274315394281,0.23226487824824393,False,False,False,False
CT_place_QUAD,position,3734887,3734887,3691198,43689,0.011697542656578365,4.0,False,0.0,3.0,0.0132175350954393,0.12688347793804244,False,False,False,False
CT_place_RAFTERS,position,3734887,3734887,3632854,102033,0.02731889880470279,5.0,False,0.0,4.0,0.030122464213776748,0.1871487321467236,False,False,False,False
CT_place_RAMP,position,3734887,3734887,3449471,285416,0.07641891173682096,6.0,False,0.0,5.0,0.08960431734614728,0.3347198073654769,False,False,False,False
CT_place_RESTROOM,position,3734887,3734887,3723309,11578,0.0030999599184660743,4.0,False,0.0,3.0,0.0036986393430376878,0.07013748760984358,False,False,False,False
CT_place_ROOF,position,3734887,3734887,3731019,3868,0.0010356404357079612,3.0,False,0.0,2.0,0.0010739280733259133,0.03390206523289016,False,False,False,False
CT_place_RUINS,position,3734887,3734887,3555869,179018,0.047931302874758996,6.0,False,0.0,5.0,0.0590020528064169,0.28621202871051515,False,False,False,False
CT_place_SCAFFOLDING,position,3734887,3734887,3726445,8442,0.00226030934804721,3.0,False,0.0,2.0,0.002273964379645221,0.04791767449325298,False,False,False,False
CT_place_SECONDMID,position,3734887,3734887,3727691,7196,0.001926698183907572,4.0,False,0.0,3.0,0.00207020988854549,0.048771417015800025,False,False,False,False
CT_place_SECRET,position,3734887,3734887,3705584,29303,0.00784575276306887,5.0,False,0.0,4.0,0.008381511944002589,0.09714904107210648,False,False,False,False
CT_place_SHOP,position,3734887,3734887,3642038,92849,0.024859922134190405,6.0,False,0.0,5.0,0.02972673604315204,0.19936985801657414,False,False,False,False
CT_place_SHORTSTAIRS,position,3734887,3734887,3660957,73930,0.01979444090276359,6.0,False,0.0,5.0,0.023882918010638608,0.17938857936087946,False,False,False,False
