idx,csv_path,round_num,rows,true_ct_win,winner_by_mean_abs_error,winner_by_brier,winner_by_logloss,lstm_mean_abs_error,xgboost_mean_abs_error,lstm_brier,xgboost_brier,lstm_logloss,xgboost_logloss,lstm_accuracy_at_0_5,xgboost_accuracy_at_0_5,lstm_closer,xgboost_closer,tie
222,processed_full/blast_austin_major_stage_2/blasttv-austin-major-2025-stage-2-b8-vs-lynn-vision-bo3-Whl3pjYuIoHffY1VOn8vws/b8-vs-lynn-vision-m1-dust2.csv,3,196,0,lstm,lstm,lstm,0.18344551847525398,0.29285646340220556,0.05298390081067297,0.1189599699318978,0.22087637226395945,0.39684025656552346,0.9744897959183674,0.8163265306122449,196,0,0
223,processed_full/fissure_playground_1/fissure-playground-1-tyloo-vs-saw-bo3-Ik7_qO98IbLkRUwtJ3asIP/tyloo-vs-saw-m1-nuke.csv,25,232,1,xgboost,xgboost,xgboost,0.4996031745786554,0.4747675311077258,0.2798195767702803,0.24690195988142033,0.7918443771028387,0.6884823072624767,0.75,0.7758620689655172,100,132,0
224,processed_full/esl_pro_league_season_21_stage_1/esl-pro-league-season-21-stage-1-heroic-vs-housebets-bo3-NgyLHfqCvYO4WZnaqhUlfi/heroic-vs-housebets-m1-dust2.csv,16,153,0,lstm,lstm,lstm,0.360130094758728,0.40100912024187885,0.15232568287959522,0.18089408100481869,0.4754351053233266,0.5416301338045,0.8496732026143791,0.7450980392156863,119,34,0
225,processed_full/iem_dallas/iem-dallas-2025-nrg-vs-aurora-bo3-qymu5EnF_DYwHSVf1aSLaG/nrg-vs-aurora-m1-inferno.csv,14,235,0,lstm,lstm,lstm,0.10059622611597852,0.15612174595354442,0.028482759501514306,0.06289868161714722,0.11869217681915614,0.20105133918538637,1.0,1.0,207,28,0
226,processed_full/blast_austin_major/blasttv-austin-major-2025-legacy-vs-lynn-vision-bo3-80tf5tBYONxHYQuFp0AoSQ/legacy-vs-lynn-vision-m1-dust2.csv,1,170,0,lstm,lstm,lstm,0.3476327928591191,0.4099402145290857,0.1608428408541386,0.21027908008366308,0.4692548224411379,0.576783857696931,0.7176470588235294,0.3235294117647059,152,18,0
227,processed_full/esports_world_cup/esports-world-cup-2025-tyloo-vs-vitality-bo3-aF98ikh3PjdqKlkdIJn9tC/tyloo-vs-vitality-m1-inferno.csv,3,151,1,xgboost,xgboost,xgboost,0.04734274725250849,0.031278433389221594,0.002928262511650023,0.0012481594301633357,0.048883918872556296,0.03192280495543263,1.0,1.0,34,117,0
228,processed_full/blast_open_london_finals/blast-open-london-2025-finals-vitality-vs-g2-bo5-ieXHvClzA7f_aJ_85fPFqK/vitality-vs-g2-m5-train.csv,11,255,1,xgboost,xgboost,xgboost,0.45936015102208827,0.30183492747007634,0.24384250287094092,0.11174144229570668,0.6836273006022425,0.38214690633696907,0.6352941176470588,0.8784313725490196,9,246,0
229,processed_full/esl_pro_league_season_21_stage_1/esl-pro-league-season-21-stage-1-heroic-vs-housebets-bo3-NgyLHfqCvYO4WZnaqhUlfi/heroic-vs-housebets-m2-mirage.csv,14,128,1,xgboost,xgboost,xgboost,0.3929892759770155,0.27667658729478717,0.1612618021389024,0.0860808959089259,0.5074693965692325,0.3330932282554711,1.0,1.0,6,122,0
230,processed_full/blast_open_lisbon/blast-open-lisbon-2025-the-mongolz-vs-natus-vincere-bo3-FVT9m_t7tlOrOuiYTIheUW/the-mongolz-vs-natus-vincere-m2-inferno.csv,10,212,1,lstm,lstm,lstm,0.1505706602672361,0.16170026474403884,0.03032486292906855,0.04145736217878285,0.16947711158296724,0.19066402674510788,1.0,0.9528301886792453,105,107,0
231,processed_full/esl_pro_league_season_21/esl-pro-league-season-21-spirit-vs-saw-bo3-_1uD70D_aUzOV8qHt5kBr9/spirit-vs-saw-m1-dust2.csv,8,173,0,lstm,lstm,lstm,0.1253570932834382,0.21025346064229491,0.0226918222818079,0.059327967596951456,0.1383499328358393,0.24732635152590718,1.0,1.0,173,0,0
232,processed_full/blast_rivals_season_2/blast-rivals-2025-season-2-furia-vs-pain-bo3-BGpRMXEt8xpbRAS7KbpPH6/furia-vs-pain-m2-overpass.csv,26,171,1,xgboost,lstm,lstm,0.2982860585750892,0.2965815659852056,0.12297749517969231,0.13237953987198245,0.3885976217584642,0.3965266626420134,0.7953216374269005,0.9824561403508771,66,105,0
233,processed_full/fissure_playground_2/fissure-playground-2-falcons-vs-virtuspro-bo3-qivzNI2LmnWi0RrHw-7sxj/falcons-vs-virtus-pro-m2-ancient.csv,13,102,1,xgboost,xgboost,xgboost,0.4895145998281591,0.45869415647843303,0.2519402602404857,0.225790036523687,0.6917630552999757,0.6338917522963836,0.49019607843137253,0.37254901960784315,26,76,0
234,processed_full/blast_bounty_season_2/blast-bounty-2025-season-2-nrg-vs-vitality-bo3-7fVRmFXct71SEzAlz8IKvC/nrg-vs-vitality-m2-dust2.csv,5,264,0,lstm,lstm,lstm,0.3734901359597588,0.39684197516180575,0.1674488574906413,0.19160974886187693,0.49881420305728863,0.547697496364452,0.7878787878787878,0.6666666666666666,204,60,0
235,processed_full/iem_katowice/iem-katowice-2025-falcons-vs-g2-bo3-Xf_UKx9fB2btv0Vy_VBVUC/falcons-vs-g2-m3-mirage.csv,17,218,0,lstm,lstm,lstm,0.25360618464845236,0.3097027276275218,0.13838335460093085,0.19118108809305076,0.372979992332319,0.5020247438078183,0.7201834862385321,0.6284403669724771,217,1,0
236,processed_full/iem_chengdu/iem-chengdu-2025-lynn-vision-vs-3dmax-bo3-peFr0yEP4eKTMrYfeYqBZK/lynn-vision-vs-3dmax-m3-train.csv,23,249,0,lstm,lstm,lstm,0.35294503554791573,0.457185573085776,0.1500842699747125,0.2458543797396872,0.46099200805919943,0.6603420976178829,0.9879518072289156,0.23694779116465864,245,4,0
237,processed_full/esl_pro_league_season_21/esl-pro-league-season-21-vitality-vs-mouz-bo3-Ko5VJMvyF1OsCx2TbVU9pb/vitality-vs-mouz-m1-inferno.csv,5,178,1,xgboost,xgboost,xgboost,0.20478837242287196,0.13470598452546623,0.04915385874967376,0.021812757846536416,0.23456650130431922,0.14699694546136466,1.0,1.0,0,178,0
238,processed_full/esl_pro_league_season_21_stage_1/esl-pro-league-season-21-stage-1-lynn-vision-vs-housebets-bo3-GrWDn9AJOxYQcZMXkSI-Tw/lynn-vision-vs-housebets-m1-inferno.csv,14,116,0,lstm,lstm,lstm,0.0838465575125783,0.10722594878361319,0.024461123198031568,0.03560417861085503,0.09972313991467899,0.1307771341615244,1.0,1.0,106,10,0
239,processed_full/blast_open_lisbon/blast-open-lisbon-2025-faze-vs-virtuspro-bo3-YK5CkfojMMEdQ3U0_CVA2l/faze-vs-virtuspro-m3-dust2.csv,12,205,0,lstm,lstm,lstm,0.1715728651323333,0.29991923617880517,0.04491050835482695,0.10183158981402336,0.20092153529548248,0.368846061570469,1.0,0.975609756097561,191,14,0
240,processed_full/esl_pro_league_season_21/esl-pro-league-season-21-natus-vincere-vs-tyloo-bo3-u9zlDGjnIy0eSohnO5P-Xx/natus-vincere-vs-tyloo-m2-mirage.csv,10,142,0,lstm,lstm,lstm,0.16549060764619225,0.19138687194167622,0.07098568620399448,0.07816717966392536,0.2187646165914983,0.24911800293898817,0.8169014084507042,0.971830985915493,112,30,0
241,processed_full/blast_open_london/blast-open-london-2025-flyquest-vs-legacy-bo3-FlEa8e0vdBrf1ft_mNbThh/flyquest-vs-legacy-m2-nuke.csv,6,121,0,lstm,lstm,lstm,0.03935811321072138,0.05156446022822422,0.0029627369567403923,0.004560942660965066,0.04093691475474881,0.054010089509869005,1.0,1.0,99,22,0
242,processed_full/esl_pro_league_season_21/esl-pro-league-season-21-vitality-vs-mouz-bo3-Ko5VJMvyF1OsCx2TbVU9pb/vitality-vs-mouz-m1-inferno.csv,4,199,1,xgboost,xgboost,xgboost,0.49763556539862597,0.44309524225829233,0.3229726362449101,0.2943330479699908,0.8853343345840863,0.7786619116263183,0.457286432160804,0.39195979899497485,48,151,0
243,processed_full/esports_world_cup/esports-world-cup-2025-g2-vs-falcons-bo3-VnJ8NRf6cDNnH9OuqiscGr/g2-vs-falcons-m1-ancient.csv,1,157,0,lstm,lstm,lstm,0.27192249693344256,0.3391933775251838,0.12537239705692785,0.1662238757493172,0.36800256087670397,0.4725450913294477,0.7707006369426752,0.4840764331210191,157,0,0
244,processed_full/blast_austin_major_stage_1/blasttv-austin-major-2025-stage-1-chinggis-warriors-vs-lynn-vision-bo3-6KVULP2-Gxo12lI67V9ZfV/chinggis-warriors-vs-lynn-vision-m3-ancient.csv,20,236,1,xgboost,xgboost,xgboost,0.36278747615672774,0.28273659161591935,0.1414772554594355,0.09023172429892597,0.4627838929298591,0.341798169473747,0.9491525423728814,1.0,37,199,0
245,processed_full/esports_world_cup/esports-world-cup-2025-gamerlegion-vs-the-mongolz-bo3-bupFip4WbObttNLCPYz_Zo/gamerlegion-vs-the-mongolz-m2-inferno.csv,16,135,1,xgboost,xgboost,xgboost,0.46943056064623373,0.4609843788323579,0.23000071806475722,0.22258813663327068,0.6580054784063962,0.6376537901281751,0.6814814814814815,0.9111111111111111,50,85,0
246,processed_full/blast_rivals_season_1/blast-rivals-2025-season-1-mouz-vs-pain-bo3-Ao8EIC0rxvFkpkJ5bGImFu/mouz-vs-pain-m1-nuke.csv,9,125,1,xgboost,xgboost,xgboost,0.40476198863983154,0.317145646572113,0.17191754341070567,0.11246613154777386,0.5287937145492806,0.3943156159553267,1.0,1.0,0,125,0
247,processed_full/blast_austin_major_stage_1/blasttv-austin-major-2025-stage-1-chinggis-warriors-vs-lynn-vision-bo3-6KVULP2-Gxo12lI67V9ZfV/chinggis-warriors-vs-lynn-vision-m3-ancient.csv,26,192,1,xgboost,xgboost,xgboost,0.21443778105701009,0.19934728679557642,0.07966913566035845,0.07479303387726703,0.2719961334588378,0.2526187973084479,0.9635416666666666,1.0,58,134,0
248,processed_full/blast_bounty_season_1/blast-bounty-2025-season-1-eternal-fire-vs-fluxo-bo3-Kqy3ohBVu1ANumI6Qdn26R/eternal-fire-vs-fluxo-m2-dust2.csv,6,190,0,lstm,lstm,lstm,0.1515323164551151,0.18620603484542747,0.054462419247062285,0.07594776541496259,0.18961896639067014,0.24172286798974527,1.0,0.9736842105263158,180,10,0
249,processed_full/blast_austin_major_stage_1/blasttv-austin-major-2025-stage-1-og-vs-nrg-bo3-GH6ZBFOA9sfdeCxgnhHN9f/og-vs-nrg-m2-nuke.csv,8,214,0,lstm,lstm,lstm,0.12163942094259049,0.1528885944008775,0.05088942457975142,0.07559325219567897,0.15928616870991513,0.21522079500240823,0.9813084112149533,0.7897196261682243,194,20,0
250,processed_full/blast_bounty_season_2_finals/blast-bounty-2025-season-2-finals-the-mongolz-vs-aurora-bo3-BL3Rcvf733R8cy7TtLY5HE/the-mongolz-vs-aurora-m1-dust2.csv,18,252,1,xgboost,lstm,lstm,0.31474600413015913,0.3087249101390914,0.1226465217518647,0.12564665250833537,0.4060278993134093,0.40938059146935996,0.9325396825396826,0.9325396825396826,110,142,0
251,processed_full/iem_dallas/iem-dallas-2025-faze-vs-bcgame-bo3-daIGc_M_y7Qq42fF9AoQhi/faze-vs-bcgame-m2-anubis.csv,3,153,1,xgboost,xgboost,xgboost,0.23127100144336427,0.20863956096125583,0.08745248471896493,0.08306107027254284,0.29439824379851814,0.2706644257030568,0.869281045751634,0.7908496732026143,35,118,0
252,processed_full/esl_pro_league_season_21_stage_1/esl-pro-league-season-21-stage-1-heroic-vs-housebets-bo3-NgyLHfqCvYO4WZnaqhUlfi/heroic-vs-housebets-m2-mirage.csv,7,219,0,lstm,xgboost,lstm,0.1964989556026215,0.21277056119859764,0.08617313245815712,0.08551567553230785,0.2613261135518411,0.2751798656272758,0.8538812785388128,1.0,172,47,0
253,processed_full/iem_cologne/iem-cologne-2025-the-mongolz-vs-natus-vincere-bo3-jwAddb1WR9PRMQexpSMSG8/the-mongolz-vs-natus-vincere-m2-ancient.csv,6,204,1,lstm,lstm,lstm,0.16576044173801646,0.17787599183765113,0.060613526080104785,0.07498664905410768,0.20813334526454716,0.23276504064939413,1.0,1.0,95,109,0
254,processed_full/blast_bounty_season_1_finals/blast-bounty-2025-season-1-finals-natus-vincere-vs-spirit-bo3-cW0x-KCT4cbPLaZUAvb08Z/natus-vincere-vs-spirit-m2-ancient.csv,23,106,1,xgboost,lstm,lstm,0.49311789912435244,0.4881992039253127,0.2586554932945984,0.2678549960854663,0.7137586249656127,0.7305026072845369,0.6981132075471698,0.5849056603773585,40,66,0
255,processed_full/iem_dallas/iem-dallas-2025-mouz-vs-falcons-bo3-ET1FlQ7LAGQtcSrRzzPcv6/mouz-vs-falcons-m1-dust2.csv,12,125,1,lstm,lstm,lstm,0.2422893877029419,0.24591782188415529,0.07030141811477426,0.07232348435269165,0.28718409592675836,0.2920191812137689,1.0,1.0,62,63,0
256,processed_full/blast_austin_major_stage_1/blasttv-austin-major-2025-stage-1-chinggis-warriors-vs-fluxo-bo3-q_dqfGh9bi4kDnaRAX0wjf/chinggis-warriors-vs-fluxo-m2-mirage.csv,23,216,0,lstm,lstm,lstm,0.2662546122961363,0.32183778057030094,0.12653921398775098,0.16956604528102956,0.36363951941354355,0.4592563076252029,0.7222222222222222,0.46296296296296297,213,3,0
257,processed_full/blast_open_lisbon/blast-open-lisbon-2025-spirit-vs-the-huns-bo3-TWIJIxJZifB3vPv3OUvjVr/spirit-vs-the-huns-m2-dust2.csv,2,227,0,lstm,lstm,lstm,0.6055629729715869,0.7185779767775589,0.5059351622320645,0.6400898740156638,1.4150110674086076,2.2976102485220573,0.3524229074889868,0.27312775330396477,226,1,0
258,processed_full/esl_pro_league_season_22/esl-pro-league-season-22-furia-vs-aurora-bo3-0icw3xvkvOZhHsCT2PEavZ/furia-vs-aurora-m1-inferno.csv,8,253,1,lstm,lstm,lstm,0.43576037936766626,0.5356898416172374,0.20182360222558443,0.3062598269273824,0.5910321873479466,0.817260374659036,0.6679841897233202,0.5573122529644269,236,17,0
259,processed_full/esports_world_cup/esports-world-cup-2025-natus-vincere-vs-3dmax-bo3-JB3JZO-5zNCohi5tAgyHtq/natus-vincere-vs-3dmax-m2-inferno.csv,4,195,0,lstm,lstm,lstm,0.07351862321225683,0.10982198037971289,0.009934335882750904,0.02263653636246563,0.07904175898003497,0.1232145648091613,1.0,1.0,169,26,0
260,processed_full/blast_austin_major/blasttv-austin-major-2025-furia-vs-virtuspro-bo3-E_bOFuD3YUjLJCO2xRj0mq/furia-vs-virtus-pro-m1-mirage.csv,10,245,0,xgboost,xgboost,xgboost,0.5800719095287103,0.546664434974557,0.43769469582595605,0.38635871533377697,1.0860151206383195,0.9533941719937596,0.23673469387755103,0.24897959183673468,61,184,0
261,processed_full/blast_open_lisbon/blast-open-lisbon-2025-spirit-vs-the-huns-bo3-TWIJIxJZifB3vPv3OUvjVr/spirit-vs-the-huns-m2-dust2.csv,7,224,0,lstm,lstm,lstm,0.2672231278515288,0.4203041928953358,0.09550571188543923,0.19523301528097664,0.3384881792790237,0.5680919649831552,0.8660714285714286,0.8348214285714286,182,42,0
262,processed_full/blast_bounty_season_2/blast-bounty-2025-season-2-heroic-vs-aurora-bo3-0XrprgXu_t-aBJHUPpJYb4/heroic-vs-aurora-m1-overpass.csv,7,183,1,xgboost,xgboost,xgboost,0.21879538877414223,0.21667203453720593,0.056382828700494714,0.0543867924298308,0.25357881283672046,0.24980443697357493,1.0,1.0,77,106,0
263,processed_full/esl_pro_league_season_22_stage_1/esl-pro-league-season-22-stage-1-nrg-vs-fluxo-bo3-aFv0UX6WO0txoeY8N630nT/nrg-vs-fluxo-m1-nuke.csv,5,217,1,xgboost,xgboost,xgboost,0.4462632827014418,0.3883346968806834,0.24214683209572418,0.19978291481201202,0.6757482188739589,0.5684484424477058,0.7004608294930875,0.7926267281105991,70,147,0
264,processed_full/blast_bounty_season_2_finals/blast-bounty-2025-season-2-finals-vitality-vs-the-mongolz-bo3-JVS9HKMAkaZTRHkoiRSMP6/vitality-vs-the-mongolz-m1-mirage.csv,18,158,0,xgboost,xgboost,xgboost,0.16695880763383014,0.16346582308370336,0.09894064214852125,0.09221938893191975,0.2561647622860817,0.24396671922365865,0.740506329113924,0.7468354430379747,125,33,0
265,processed_full/esl_pro_league_season_22_stage_1/esl-pro-league-season-22-stage-1-g2-vs-gentle-mates-bo3-AJh0VVYB1ya_7X1VH9GAqu/g2-vs-gentle-mates-m1-inferno.csv,3,174,1,xgboost,xgboost,xgboost,0.056915835402477744,0.02025983422652058,0.004427894759463683,0.0005054313923323014,0.059291781731458396,0.020517313587007344,1.0,1.0,0,174,0
266,processed_full/iem_chengdu/iem-chengdu-2025-heroic-vs-natus-vincere-bo3-P_vZ7pAIyzYcLTUjDHhSUR/heroic-vs-natus-vincere-m2-ancient.csv,15,266,0,lstm,lstm,lstm,0.019913719313812597,0.055051416239641694,0.0017611838519052828,0.008267615765831878,0.020883264270806827,0.0598964362735999,1.0,1.0,266,0,0
267,processed_full/blast_austin_major_stage_2/blasttv-austin-major-2025-stage-2-og-vs-falcons-bo3-Q3yO3LacAwamKdCbguw7-l/og-vs-falcons-m1-dust2.csv,9,283,0,lstm,lstm,lstm,0.25283165848912675,0.34377617347169365,0.0962640831374608,0.1660270651487442,0.3192094068769571,0.472260295807176,1.0,0.4840989399293286,283,0,0
268,processed_full/esl_pro_league_season_22_stage_1/esl-pro-league-season-22-stage-1-g2-vs-fluxo-bo3-IhqycqXYyOA3DyfY0xuGyX/g2-vs-fluxo-m2-inferno.csv,1,124,0,xgboost,xgboost,xgboost,0.39281216096283206,0.36506220838055015,0.19907092532764348,0.16985638681512516,0.5484886650760068,0.4922607804249821,0.3709677419354839,0.9596774193548387,27,97,0
269,processed_full/esl_pro_league_season_22_stage_1/esl-pro-league-season-22-stage-1-astralis-vs-gamerlegion-bo3-8K-MOEPC1meC7FXyBc8fA2/astralis-vs-gamerlegion-m1-nuke.csv,10,179,1,xgboost,xgboost,xgboost,0.4435900435600867,0.4434024485129884,0.2398987881566489,0.23164972618726326,0.6678474684337806,0.6460490670594577,0.7094972067039106,0.6815642458100558,78,101,0
270,processed_full/esl_pro_league_season_22/esl-pro-league-season-22-furia-vs-vitality-bo3-ZNzuF_vw0WBzn8QEbGrbgj/furia-vs-vitality-m1-overpass.csv,11,190,1,xgboost,lstm,lstm,0.21368079279598437,0.21338066615556417,0.053316107300681245,0.05893866985863626,0.24672172964376757,0.25095704863951557,0.9947368421052631,1.0,93,97,0
271,processed_full/blast_austin_major_stage_1/blasttv-austin-major-2025-stage-1-chinggis-warriors-vs-fluxo-bo3-q_dqfGh9bi4kDnaRAX0wjf/chinggis-warriors-vs-fluxo-m2-mirage.csv,13,174,1,xgboost,xgboost,xgboost,0.3801460951224141,0.3281547322698023,0.18137541068200247,0.15178061458592323,0.5208619590772733,0.443877137665729,0.5689655172413793,0.9482758620689655,22,152,0
272,processed_full/blast_austin_major_stage_1/blasttv-austin-major-2025-stage-1-chinggis-warriors-vs-lynn-vision-bo3-6KVULP2-Gxo12lI67V9ZfV/chinggis-warriors-vs-lynn-vision-m3-ancient.csv,9,203,1,lstm,lstm,lstm,0.32167261882955805,0.34375738224078867,0.11284446864217397,0.12809242106603452,0.3982455286289026,0.4337222577099355,0.9950738916256158,0.9950738916256158,152,51,0
273,processed_full/blast_austin_major/blasttv-austin-major-2025-virtuspro-vs-legacy-ancient-7ivruObh5LTTVaCYe9h-YO/virtus-pro-vs-legacy-ancient.csv,16,205,0,lstm,lstm,lstm,0.5142151479677456,0.530912202414943,0.28366914030117596,0.2964480729219077,0.753475646381512,0.7856251641907015,0.16097560975609757,0.2634146341463415,135,70,0
274,processed_full/esl_pro_league_season_21/esl-pro-league-season-21-natus-vincere-vs-tyloo-bo3-u9zlDGjnIy0eSohnO5P-Xx/natus-vincere-vs-tyloo-m3-ancient.csv,16,100,0,lstm,lstm,lstm,0.015062959024216938,0.03777409033151344,0.0004428352428793224,0.0021800788591049775,0.015290206132367073,0.03891003014038494,1.0,1.0,99,1,0
275,processed_full/iem_chengdu/iem-chengdu-2025-furia-vs-g2-bo3-_Q5oHsnKyowoqEbJh5o3f8/furia-vs-g2-m2-overpass.csv,10,222,0,lstm,lstm,lstm,0.3961044034452874,0.5041253428469907,0.25845711731573884,0.3179940151002119,0.6699857024563515,0.844610289718276,0.46846846846846846,0.38738738738738737,178,44,0
276,processed_full/esl_pro_league_season_22/esl-pro-league-season-22-vitality-vs-gamerlegion-bo3-HfAhqHTEhpe_HlObeToa76/vitality-vs-gamerlegion-m1-overpass.csv,2,120,1,xgboost,xgboost,xgboost,0.2395143613219261,0.2093602513273557,0.09035801285628837,0.07785746641570718,0.30388670950695007,0.2633530395394276,0.975,0.9916666666666667,15,105,0
277,processed_full/blast_austin_major_stage_2/blasttv-austin-major-2025-stage-2-virtuspro-vs-og-inferno-UyQlNJx_rptvvsTtINI5j3/virtus-pro-vs-og-inferno.csv,2,176,1,xgboost,xgboost,xgboost,0.585062512577596,0.5104747901416637,0.3865842972727957,0.299072381870884,1.0218933194408382,0.7925196094041573,0.32386363636363635,0.30113636363636365,16,160,0
278,processed_full/iem_chengdu/iem-chengdu-2025-vitality-vs-virtuspro-bo3-8Z0L17IYJlstHvIADVy9G9/vitality-vs-virtus-pro-m3-mirage.csv,2,204,1,xgboost,xgboost,xgboost,0.04732444765521031,0.02029335878643335,0.0023736563928133075,0.000419923526420322,0.048555665865311404,0.020506273690469395,1.0,1.0,0,204,0
279,processed_full/esl_pro_league_season_21_stage_1/esl-pro-league-season-21-stage-1-3dmax-vs-m80-bo3-DeIrLPYSKhgd10M8zQmUUV/3dmax-vs-m80-m2-train.csv,16,148,1,xgboost,lstm,xgboost,0.2439331662010502,0.2352469619866964,0.08816089485886676,0.09461087415984733,0.30568061538640146,0.30438131296082027,0.9797297297297297,0.9324324324324325,54,94,0
280,processed_full/blast_bounty_season_1/blast-bounty-2025-season-1-eternal-fire-vs-fluxo-bo3-Kqy3ohBVu1ANumI6Qdn26R/eternal-fire-vs-fluxo-m2-dust2.csv,3,105,1,xgboost,xgboost,xgboost,0.048651833761306044,0.015461263770148868,0.0030906934830981867,0.0003710069075566142,0.0502797626036916,0.015650261733181087,1.0,1.0,0,105,0
281,processed_full/esl_pro_league_season_21/esl-pro-league-season-21-mouz-vs-liquid-bo3-9v1WXdmzbeO2q7iD5Nu_mP/mouz-vs-liquid-m2-nuke.csv,7,104,0,lstm,lstm,lstm,0.01354471054778859,0.020331677365063045,0.00035339388672403895,0.00078241720772441,0.01372600712647026,0.020735229885958825,1.0,1.0,67,37,0
