feature,coefficient,abs_coefficient,base_feature,is_utility
lag_11__T_place_CONSTRUCTION,-7.162756219258881e-07,7.162756219258881e-07,T_place_CONSTRUCTION,False
lag_11__T_place_PLAYGROUND,-7.144328151298396e-07,7.144328151298396e-07,T_place_PLAYGROUND,False
lag_11__CT_place_DECON,-7.124116905288247e-07,7.124116905288247e-07,CT_place_DECON,False
lag_11__CT_place_ENTRANCE,-7.099161507539975e-07,7.099161507539975e-07,CT_place_ENTRANCE,False
lag_05__T_place_CRANE,-7.042211791485897e-07,7.042211791485897e-07,T_place_CRANE,False
lag_06__T_place_BACKOFA,-7.041442700028711e-07,7.041442700028711e-07,T_place_BACKOFA,False
lag_11__CT_place_TROPHY,-7.024940487099229e-07,7.024940487099229e-07,CT_place_TROPHY,False
lag_11__CT_place_CRANE,-6.997248647166998e-07,6.997248647166998e-07,CT_place_CRANE,False
lag_11__T_place_MINI,-6.994727641540521e-07,6.994727641540521e-07,T_place_MINI,False
lag_11__CT_place_BACKALLEY,-6.831305086052453e-07,6.831305086052453e-07,CT_place_BACKALLEY,False
lag_15__T_spread_xy,-6.807390491303522e-07,6.807390491303522e-07,T_spread_xy,False
lag_04__T_place_CTSIDEUPPER,-6.749568228769931e-07,6.749568228769931e-07,T_place_CTSIDEUPPER,False
lag_04__CT_place_PIPE,-6.739857667525939e-07,6.739857667525939e-07,CT_place_PIPE,False
lag_11__T_place_BDOORS,-6.737829494340986e-07,6.737829494340986e-07,T_place_BDOORS,False
lag_11__T_place_WALKWAY,-6.694334047097072e-07,6.694334047097072e-07,T_place_WALKWAY,False
lag_04__CT5__utility_total,-6.685040716547519e-07,6.685040716547519e-07,CT5__utility_total,True
lag_11__CT_place_CTSIDEUPPER,-6.67748111027322e-07,6.67748111027322e-07,CT_place_CTSIDEUPPER,False
lag_01__CT_place_SILO,-6.653320383520622e-07,6.653320383520622e-07,CT_place_SILO,False
lag_04__CT_place_DUMPSTER,-6.620617227781622e-07,6.620617227781622e-07,CT_place_DUMPSTER,False
lag_04__CT_place_PLAYGROUND,-6.57547957416682e-07,6.57547957416682e-07,CT_place_PLAYGROUND,False
lag_04__CT_place_KITCHEN,-6.565804824276711e-07,6.565804824276711e-07,CT_place_KITCHEN,False
lag_07__T2__armor,6.43090061203111e-07,6.43090061203111e-07,T2__armor,False
lag_12__T_place_CTSIDEUPPER,-6.415950792870717e-07,6.415950792870717e-07,T_place_CTSIDEUPPER,False
lag_12__CT_place_PIPE,-6.406715442608402e-07,6.406715442608402e-07,CT_place_PIPE,False
lag_11__CT_place_OBSERVATION,-6.374524446073337e-07,6.374524446073337e-07,CT_place_OBSERVATION,False
lag_11__CT_place_PALACEALLEY,-6.367226887959987e-07,6.367226887959987e-07,CT_place_PALACEALLEY,False
lag_15__CT_place_SILO,-6.326215498120291e-07,6.326215498120291e-07,CT_place_SILO,False
lag_11__T_place_TRUCK,-6.305313036136795e-07,6.305313036136795e-07,T_place_TRUCK,False
lag_09__CT2__flash_duration,6.300498398559284e-07,6.300498398559284e-07,CT2__flash_duration,True
lag_12__CT_place_DUMPSTER,-6.293371370702516e-07,6.293371370702516e-07,CT_place_DUMPSTER,False
lag_11__T_place_UNDERA,-6.252014372876147e-07,6.252014372876147e-07,T_place_UNDERA,False
lag_12__CT_place_PLAYGROUND,-6.250464821278001e-07,6.250464821278001e-07,CT_place_PLAYGROUND,False
lag_12__CT_place_KITCHEN,-6.241271535145643e-07,6.241271535145643e-07,CT_place_KITCHEN,False
lag_03__T_place_CTSIDEUPPER,-6.23836911017861e-07,6.23836911017861e-07,T_place_CTSIDEUPPER,False
lag_13__CT_place_SILO,-6.232363034541777e-07,6.232363034541777e-07,CT_place_SILO,False
lag_03__CT_place_PIPE,-6.2293929659063e-07,6.2293929659063e-07,CT_place_PIPE,False
lag_11__CT_place_RESTROOM,-6.218705834726279e-07,6.218705834726279e-07,CT_place_RESTROOM,False
lag_11__T_place_SNIPERSNEST,-6.195459718583152e-07,6.195459718583152e-07,T_place_SNIPERSNEST,False
lag_11__T_smokes_last_5s,-6.159993404253328e-07,6.159993404253328e-07,T_smokes_last_5s,True
lag_11__CT_place_VENDING,-6.154564289317932e-07,6.154564289317932e-07,CT_place_VENDING,False
lag_03__CT_place_DUMPSTER,-6.119184945418965e-07,6.119184945418965e-07,CT_place_DUMPSTER,False
lag_06__T_place_CTSIDEUPPER,-6.083982952986844e-07,6.083982952986844e-07,T_place_CTSIDEUPPER,False
lag_11__T_place_OBSERVATION,-6.081181140871195e-07,6.081181140871195e-07,T_place_OBSERVATION,False
lag_03__CT_place_PLAYGROUND,-6.077465286580264e-07,6.077465286580264e-07,CT_place_PLAYGROUND,False
lag_06__CT_place_PIPE,-6.075229634916468e-07,6.075229634916468e-07,CT_place_PIPE,False
lag_03__CT_place_KITCHEN,-6.068522679925081e-07,6.068522679925081e-07,CT_place_KITCHEN,False
lag_11__CT_he_last_5s,-6.017465352670115e-07,6.017465352670115e-07,CT_he_last_5s,True
lag_11__T_place_STAIRS,-6.008984883010271e-07,6.008984883010271e-07,T_place_STAIRS,False
lag_11__CT_place_BRICKS,-5.998480787638982e-07,5.998480787638982e-07,CT_place_BRICKS,False
lag_04__T_place_BRICKS,-5.995808578518336e-07,5.995808578518336e-07,T_place_BRICKS,False
lag_06__CT_place_DUMPSTER,-5.967750666968641e-07,5.967750666968641e-07,CT_place_DUMPSTER,False
lag_11__T_place_SIDE,-5.960705493635032e-07,5.960705493635032e-07,T_place_SIDE,False
lag_11__T_place_UPSTAIRS,-5.952858259661298e-07,5.952858259661298e-07,T_place_UPSTAIRS,False
lag_05__CT_place_SILO,-5.940787559666205e-07,5.940787559666205e-07,CT_place_SILO,False
lag_06__CT_place_PLAYGROUND,-5.927063284616452e-07,5.927063284616452e-07,CT_place_PLAYGROUND,False
lag_06__CT_place_KITCHEN,-5.918342367294827e-07,5.918342367294827e-07,CT_place_KITCHEN,False
lag_11__T_place_DECON,-5.900867563468637e-07,5.900867563468637e-07,T_place_DECON,False
lag_11__T_place_GRAVEYARD,-5.866032211088168e-07,5.866032211088168e-07,T_place_GRAVEYARD,False
lag_04__T_place_STORAGEROOM,-5.816714292450342e-07,5.816714292450342e-07,T_place_STORAGEROOM,False
lag_10__CT_place_DECK,-5.791484340988973e-07,5.791484340988973e-07,CT_place_DECK,False
lag_11__T_place_SHOP,-5.746172746512457e-07,5.746172746512457e-07,T_place_SHOP,False
lag_11__CT_place_TUNNEL,-5.727503094021813e-07,5.727503094021813e-07,CT_place_TUNNEL,False
lag_12__T_place_BRICKS,-5.69944859307725e-07,5.69944859307725e-07,T_place_BRICKS,False
lag_11__equip_diff,5.692500053555705e-07,5.692500053555705e-07,equip_diff,False
lag_13__CT5__molly,-5.647452780976892e-07,5.647452780976892e-07,CT5__molly,True
lag_11__CT_smokes_last_5s,-5.640505946757912e-07,5.640505946757912e-07,CT_smokes_last_5s,True
lag_11__CT_place_SCAFFOLDING,-5.596243681793567e-07,5.596243681793567e-07,CT_place_SCAFFOLDING,False
lag_04__T_place_CRANE,-5.563449576584389e-07,5.563449576584389e-07,T_place_CRANE,False
lag_03__T_place_BRICKS,-5.541696737054735e-07,5.541696737054735e-07,T_place_BRICKS,False
lag_12__T_place_STORAGEROOM,-5.529204827325884e-07,5.529204827325884e-07,T_place_STORAGEROOM,False
lag_10__T_burning_players,5.505498847924173e-07,5.505498847924173e-07,T_burning_players,False
lag_08__CT_place_DECK,-5.468933181873581e-07,5.468933181873581e-07,CT_place_DECK,False
lag_09__CT_place_DECK,-5.45091154435795e-07,5.45091154435795e-07,CT_place_DECK,False
lag_06__T_place_BRICKS,-5.404552894106018e-07,5.404552894106018e-07,T_place_BRICKS,False
lag_03__T_place_STORAGEROOM,-5.376165859161119e-07,5.376165859161119e-07,T_place_STORAGEROOM,False
lag_11__CT_place_SIDEALLEY,-5.326531322680239e-07,5.326531322680239e-07,CT_place_SIDEALLEY,False
lag_05__CT3__molly,-5.309807420417201e-07,5.309807420417201e-07,CT3__molly,True
lag_12__T_place_CRANE,-5.288458737595647e-07,5.288458737595647e-07,T_place_CRANE,False
lag_06__T_place_STORAGEROOM,-5.243121563580644e-07,5.243121563580644e-07,T_place_STORAGEROOM,False
lag_11__T_place_LADDER,-5.170709869162238e-07,5.170709869162238e-07,T_place_LADDER,False
lag_03__T_place_CRANE,-5.142086365594878e-07,5.142086365594878e-07,T_place_CRANE,False
lag_11__T_mollies_last_5s,-5.028664418205153e-07,5.028664418205153e-07,T_mollies_last_5s,True
lag_06__T_place_CRANE,-5.014831572225376e-07,5.014831572225376e-07,T_place_CRANE,False
lag_11__CT_place_SECONDMID,-5.005614980291284e-07,5.005614980291284e-07,CT_place_SECONDMID,False
lag_07__CT1__shots_fired,4.97801011078991e-07,4.97801011078991e-07,CT1__shots_fired,False
lag_01__T_flash_inv,-4.97424480272457e-07,4.97424480272457e-07,T_flash_inv,True
lag_11__CT_place_OUTSIDETUNNEL,-4.830346824746812e-07,4.830346824746812e-07,CT_place_OUTSIDETUNNEL,False
lag_11__T_place_RESTROOM,-4.744107968690514e-07,4.744107968690514e-07,T_place_RESTROOM,False
lag_11__T_place_DECK,-4.7315847950812895e-07,4.7315847950812895e-07,T_place_DECK,False
lag_04__CT_place_SILO,-4.693308142122987e-07,4.693308142122987e-07,CT_place_SILO,False
lag_11__CT_place_STORAGEROOM,-4.665996016228746e-07,4.665996016228746e-07,CT_place_STORAGEROOM,False
lag_12__CT_place_SILO,-4.461325602278521e-07,4.461325602278521e-07,CT_place_SILO,False
lag_11__T_place_QUAD,-4.4588284708879655e-07,4.4588284708879655e-07,T_place_QUAD,False
lag_11__CT_mean_X,-4.4386752051650546e-07,4.4386752051650546e-07,CT_mean_X,False
lag_11__T_place_LIBRARY,-4.3945198058281676e-07,4.3945198058281676e-07,T_place_LIBRARY,False
lag_02__CT_place_DECK,-4.361409651210124e-07,4.361409651210124e-07,CT_place_DECK,False
lag_03__CT_place_SILO,-4.337845780355565e-07,4.337845780355565e-07,CT_place_SILO,False
