tick,seconds_in_round,lstm_delta_from_prev,rank,feature,base_feature,is_utility,feature_delta_scaled,coefficient,ridge_delta_contribution
53343,73.5,0.22877458482980728,20,lag_09__T5__is_walking,T5__is_walking,False,2.3193888664245605,0.0006862115114927292,0.0015915913397686055
53631,78.0,-0.21339940279722214,1,lag_09__T_place_HELL,T_place_HELL,False,-21.323461532592773,0.002553024794906378,-0.0544393260059417
53631,78.0,-0.21339940279722214,2,lag_02__T_place_HELL,T_place_HELL,False,21.323461532592773,-0.001628012745641172,-0.03471486715625027
53631,78.0,-0.21339940279722214,3,lag_00__T_place_CONTROL,T_place_CONTROL,False,7.106100082397461,-0.0009015966206789017,-0.0064068358204956155
53631,78.0,-0.21339940279722214,4,lag_00__T_place_TROPHY,T_place_TROPHY,False,-6.341568470001221,0.0009918430587276816,-0.006289840668417035
53631,78.0,-0.21339940279722214,5,lag_00__T_kills_last_3s,T_kills_last_3s,False,3.1681017875671387,-0.0019131250446662307,-0.006060974873846547
53631,78.0,-0.21339940279722214,6,lag_05__T_place_TROPHY,T_place_TROPHY,False,6.341568470001221,0.0008105636807158589,0.0051402450805558275
53631,78.0,-0.21339940279722214,7,lag_00__kill_diff_last_3s,kill_diff_last_3s,False,-2.4069459438323975,0.0021159856114536524,-0.005093062984696084
53631,78.0,-0.21339940279722214,8,lag_00__T_shots_fired_sum,T_shots_fired_sum,False,3.748685598373413,-0.0011220535961911082,-0.0042062261566447046
53631,78.0,-0.21339940279722214,9,lag_07__T_place_TROPHY,T_place_TROPHY,False,-6.341568470001221,0.0006613840814679861,-0.004194212437598099
53631,78.0,-0.21339940279722214,10,lag_14__T_place_TROPHY,T_place_TROPHY,False,6.341568470001221,-0.0005410353769548237,-0.0034310128876519352
53631,78.0,-0.21339940279722214,11,lag_06__CT3__duck_amount,CT3__duck_amount,False,2.1941661834716797,-0.0014358018524944782,-0.003150387870909377
53631,78.0,-0.21339940279722214,12,lag_14__CT2__duck_amount,CT2__duck_amount,False,-3.8097944259643555,0.0007936451584100723,-0.0030236249007042915
53631,78.0,-0.21339940279722214,13,lag_14__T_place_VENDING,T_place_VENDING,False,-5.069882392883301,0.0005847660941071808,-0.0029646953244691354
53631,78.0,-0.21339940279722214,14,lag_09__T5__has_bomb,T5__has_bomb,False,-2.928872585296631,0.0008964427397586405,-0.0026255665647672843
53631,78.0,-0.21339940279722214,15,lag_07__CT4__is_walking,CT4__is_walking,False,2.384641170501709,-0.0010449490509927273,-0.002491828528073947
53631,78.0,-0.21339940279722214,16,lag_01__T3__duck_amount,T3__duck_amount,False,3.7704498767852783,-0.000624475535005331,-0.002354553704016271
53631,78.0,-0.21339940279722214,17,lag_13__CT_kills_last_3s,CT_kills_last_3s,False,-2.8871407508850098,0.0008052471675910056,-0.002324861912086723
53631,78.0,-0.21339940279722214,18,lag_00__T_damage_last_5s,T_damage_last_5s,False,1.5825508832931519,-0.0014597283443436027,-0.0023100943807090185
53631,78.0,-0.21339940279722214,19,lag_00__damage_diff_last_5s,damage_diff_last_5s,False,-1.4889460802078247,0.0014680444728583097,-0.0021858390634331426
53631,78.0,-0.21339940279722214,20,lag_13__kill_diff_last_3s,kill_diff_last_3s,False,-2.4069459438323975,0.000902018800843507,-0.0021711104939508424
50975,36.5,-0.19552597403526306,1,lag_14__CT_utility_damage_last_5s,CT_utility_damage_last_5s,True,-10.78676986694336,0.0016039765905588865,-0.017301726354323144
50975,36.5,-0.19552597403526306,2,lag_14__utility_damage_diff_last_5s,utility_damage_diff_last_5s,True,-8.847930908203125,0.0012968999799340963,-0.011474881417306904
