run_id,max_depth,n_estimators,learning_rate,best_iteration,best_score,train_accuracy,valid_accuracy,train_logloss,valid_logloss,train_roc_auc,valid_roc_auc,train_brier_score,valid_brier_score,auc_gap,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
random_023_mcw5_sub063_col075_l2111_l1099_g165,3,1500,0.02,475,0.45981264692837154,0.7690826608055372,0.7503137583549659,0.43719838128277133,0.45981264575912023,0.8686625056456891,0.8520444564506858,0.14746042652429636,0.15500380647488812,0.016618049195003315,5.0,0.6295555123989611,0.7455325907597133,1.1089430310094521,0.9879816384890379,1.6493060616639266
random_004_mcw30_sub062_col089_l2480_l1152_g177,3,1500,0.02,506,0.45985043564943495,0.7696036434946628,0.7511804263843183,0.43644834956526957,0.4598504344145854,0.8692854645217261,0.8519281230701394,0.14711702431287163,0.15507794939922784,0.017357341451586628,30.0,0.6223360396364613,0.8896709101974036,4.8048559645502324,1.5161754801707477,1.772629840649342
random_008_mcw10_sub083_col075_l2792_l1140_g156,3,1500,0.02,553,0.4598513784907775,0.7719823524906535,0.7491772785806267,0.4345459573017676,0.45985137718260677,0.8706891812394122,0.8517894088934629,0.14645978613748345,0.15508070921948044,0.018899772345949306,10.0,0.8344348981388786,0.7530031716053157,7.917912410251369,1.4005302040044982,1.5618332069102054
random_006_mcw30_sub065_col084_l2636_l1194_g163,3,1500,0.02,466,0.45986455255912984,0.7686560783985438,0.7479631257281851,0.43825377020427003,0.45986455143891425,0.8680933629351235,0.8519373674983135,0.1477454861282462,0.15509703119142865,0.01615599543681001,30.0,0.6540013222236417,0.8390671336348591,6.36404660533519,1.93501946486842,1.6291267906907598
random_035_mcw30_sub086_col069_l21026_l1048_g061,3,1500,0.02,537,0.45988401526847267,0.770786318727413,0.7510250802281135,0.43537304294227536,0.45988401401507484,0.8703010107417571,0.8520820238471538,0.1466929642768304,0.15505298830944703,0.01821898689460333,30.0,0.861376363972159,0.6918611805730026,10.256311040396808,0.4819411500113695,0.6137896620574301
random_015_mcw12_sub079_col087_l2521_l1081_g407,3,1500,0.02,543,0.4598879619782127,0.7710855498103979,0.7490628129918443,0.434758215718631,0.4598879606810929,0.8705951971246839,0.8518261496841435,0.14652781209873517,0.1550612494263621,0.01876904744054042,12.0,0.7949612533194474,0.8743643731872447,5.210923700974946,0.812773722880141,4.070101923330173
random_018_mcw8_sub071_col082_l2246_l1018_g059,3,1500,0.02,516,0.45995019829626216,0.7700239919207608,0.7484209880833146,0.43554249882822466,0.45995019696957656,0.8699543595695025,0.8517741730267886,0.14681842029502964,0.15508203469734405,0.018180186542713916,8.0,0.7055292312017567,0.8205989075916109,2.4573181244573767,0.175299838632202,0.5900295106025766
random_030_mcw5_sub064_col092_l2177_l1007_g277,3,1500,0.02,524,0.4599529196744925,0.7701148299280954,0.7483474030619545,0.4352089725507655,0.45995291848542097,0.8700827866192579,0.8517809801491394,0.1467221811765572,0.15509376725725593,0.018301806470118476,5.0,0.6377093310845637,0.9206041457981627,1.7719139265987518,0.07482511235235956,2.774262346957417
random_031_mcw15_sub089_col088_l2220_l1191_g145,3,1500,0.02,621,0.459966374605629,0.7741499967048958,0.7495288514604582,0.4314270114652434,0.45996637346563685,0.87321539889466,0.8517444413302757,0.14526601169604939,0.1551127669965365,0.02147095756438433,15.0,0.8904264100963446,0.8828880152225056,2.199127176484977,1.90579879013949,1.454589190700593
random_005_mcw5_sub091_col087_l2162_l1093_g022,3,1500,0.02,509,0.4599774675704345,0.7689464037945352,0.7509678474337224,0.43645443954489926,0.4599774663151757,0.8690210874878275,0.8519269752249847,0.14723980841541395,0.15508339038727514,0.017094112262842742,5.0,0.9125923924627691,0.8724342239758166,1.621998481410148,0.9334420074540684,0.21901882893614388
random_012_mcw25_sub076_col080_l2669_l1127_g277,3,1500,0.02,537,0.459977625375002,0.7706242352241294,0.7490546368783598,0.4349913909467648,0.4599776241647266,0.8705120475517476,0.8517641714899518,0.14657917988829466,0.15512376928862184,0.018747876061795843,25.0,0.7648836721500963,0.797832637268416,6.692254064921205,1.2694366400011816,2.767897003289979
