feature,block,rows,non_null,zero,nonzero,nonzero_ratio,unique_count,unique_overflow,min,max,mean,std,constant,rare_nonzero,forbidden,leak_suspicious
CT3__flash_duration,utility,1873218,1873218,1796200,77018,0.04111534268835768,,True,0.0,5.303714752197266,0.11511578619779418,0.6250546674785565,False,False,False,False
CT3__has_defuser,objective,1873218,1873218,1376631,496587,0.26509834947133754,2.0,False,0.0,1.0,0.26509834947133754,0.4413855622683077,False,False,False,False
CT3__has_helmet,utility,1873218,1873218,1061274,811944,0.433448749691707,2.0,False,0.0,1.0,0.433448749691707,0.4955511387156758,False,False,False,False
CT3__hp,state,1873218,1873218,412856,1460362,0.7796006658061154,101.0,False,0.0,100.0,73.00218714532959,42.02259010526804,False,False,False,False
CT3__is_scoped,player_slot_numeric,1873218,1873218,1778600,94618,0.05051093892969211,2.0,False,0.0,1.0,0.05051093892969211,0.21899676704950014,False,False,False,False
CT3__is_walking,player_slot_numeric,1873218,1873218,1446933,426285,0.2275682808941618,2.0,False,0.0,1.0,0.2275682808941618,0.4192623980576337,False,False,False,False
CT3__molly,utility,1873218,1873218,1491051,382167,0.20401629708875316,2.0,False,0.0,1.0,0.20401629708875316,0.40298095192074124,False,False,False,False
CT3__shots_fired,combat,1873218,1873218,1629808,243410,0.12994216369904624,31.0,False,0.0,30.0,0.5325989820725617,1.873401755978819,False,False,False,False
CT3__smoke,utility,1873218,1873218,1337881,535337,0.2857846764231392,2.0,False,0.0,1.0,0.2857846764231392,0.45178733398011595,False,False,False,False
CT3__utility_total,utility,1873218,1873218,966603,906615,0.4839879821782622,5.0,False,0.0,4.0,0.8542694977306432,1.0470031429443918,False,False,False,False
CT4__X,position,1873218,1873218,0,1873218,1.0,,True,-3959.972412109375,3480.413818359375,97.53806508899264,1293.1858563727435,False,False,False,False
CT4__Y,position,1873218,1873218,0,1873218,1.0,,True,-2802.76123046875,3593.96875,418.173244335337,1362.1322012682997,False,False,False,False
CT4__alive,state,1873218,1873218,389229,1483989,0.7922137199194114,2.0,False,0.0,1.0,0.7922137199194114,0.4057229866434237,False,False,False,False
CT4__armor,state,1873218,1873218,525380,1347838,0.7195307753822566,80.0,False,0.0,100.0,69.93889072174194,44.142633525015995,False,False,False,False
CT4__duck_amount,player_slot_numeric,1873218,1873218,1639289,233929,0.12488082006472284,,True,0.0,1.0,0.0934129402133776,0.2730790753002581,False,False,False,False
CT4__flash,utility,1873218,1873218,1182095,691123,0.36894958301703273,3.0,False,0.0,2.0,0.4140052038791,0.5768155136300163,False,False,False,False
CT4__flash_duration,utility,1873218,1873218,1800455,72763,0.03884385052887598,,True,0.0,5.253699779510498,0.11076054454530919,0.6171715314622744,False,False,False,False
CT4__has_defuser,objective,1873218,1873218,1316154,557064,0.29738343321492744,2.0,False,0.0,1.0,0.29738343321492744,0.45710669089855843,False,False,False,False
CT4__has_helmet,utility,1873218,1873218,1021047,852171,0.454923559350807,2.0,False,0.0,1.0,0.454923559350807,0.4979639690764782,False,False,False,False
CT4__hp,state,1873218,1873218,389229,1483989,0.7922137199194114,101.0,False,0.0,100.0,74.64346221315405,41.213979532365684,False,False,False,False
CT4__is_scoped,player_slot_numeric,1873218,1873218,1700388,172830,0.09226368740851305,2.0,False,0.0,1.0,0.09226368740851305,0.28939782202756337,False,False,False,False
CT4__is_walking,player_slot_numeric,1873218,1873218,1441077,432141,0.23069445200718763,2.0,False,0.0,1.0,0.23069445200718763,0.42127725053732845,False,False,False,False
CT4__molly,utility,1873218,1873218,1480819,392399,0.20947855508541985,2.0,False,0.0,1.0,0.20947855508541985,0.4069364692980276,False,False,False,False
CT4__shots_fired,combat,1873218,1873218,1672148,201070,0.10733934865029057,31.0,False,0.0,30.0,0.4548274680256115,1.8296146504964086,False,False,False,False
CT4__smoke,utility,1873218,1873218,1312027,561191,0.29958659376538127,2.0,False,0.0,1.0,0.29958659376538127,0.4580769221445648,False,False,False,False
CT4__utility_total,utility,1873218,1873218,912202,961016,0.5130294498558097,5.0,False,0.0,4.0,0.9230703527299011,1.0738667727560764,False,False,False,False
CT5__X,position,1873218,1873218,0,1873218,1.0,,True,-3959.970458984375,3497.97119140625,160.05025019522617,1224.2268832029374,False,False,False,False
CT5__Y,position,1873218,1873218,0,1873218,1.0,,True,-3089.354736328125,3593.971435546875,396.2863096529245,1404.3197713865507,False,False,False,False
CT5__alive,state,1873218,1873218,401399,1471819,0.7857168786548069,2.0,False,0.0,1.0,0.7857168786548069,0.4103240978199481,False,False,False,False
CT5__armor,state,1873218,1873218,518304,1354914,0.7233082321438294,75.0,False,0.0,100.0,70.1670206030478,43.89224755429781,False,False,False,False
