feature,coefficient,abs_coefficient
lag_10__T_active_infernos,-0.00019199633970856667,0.00019199633970856667
lag_00__molly_inv_diff,-0.00018934038234874606,0.00018934038234874606
lag_14__T_flashes_last_5s,0.00018770297174341977,0.00018770297174341977
lag_00__CT_place_MIDDLE,0.00018696200277190655,0.00018696200277190655
lag_00__CT5__duck_amount,-0.00018695871403906494,0.00018695871403906494
lag_01__CT_flashed_players,0.00018596550216898322,0.00018596550216898322
lag_00__CT_closest_enemy_dist,0.0001850965927587822,0.0001850965927587822
lag_01__T_closest_enemy_dist,-0.00018320794333703816,0.00018320794333703816
lag_12__T_place_WATER,0.00018151338736061007,0.00018151338736061007
lag_08__T4__flash_duration,0.00018124619964510202,0.00018124619964510202
lag_00__CT5__is_walking,0.00018116056162398309,0.00018116056162398309
lag_13__T_place_TUNNEL,0.00018062753952108324,0.00018062753952108324
lag_00__T_place_RUINS,-0.0001781669707270339,0.0001781669707270339
lag_00__closest_enemy_dist_diff,0.00017694017151370645,0.00017694017151370645
lag_13__T_place_SIDEENTRANCE,-0.00017692979599814862,0.00017692979599814862
lag_00__alive_diff,0.00017676936113275588,0.00017676936113275588
lag_00__CT_armor_sum,0.0001756090350681916,0.0001756090350681916
lag_14__T_walking_count,-0.00017558450053911656,0.00017558450053911656
lag_10__CT_place_HOUSE,-0.00017504682182334363,0.00017504682182334363
lag_00__CT_flashes_last_5s,0.00017388409469276667,0.00017388409469276667
lag_01__CT5__duck_amount,-0.00017346249660477042,0.00017346249660477042
lag_01__equip_diff,0.00017268468218389899,0.00017268468218389899
lag_00__CT_place_SIDEENTRANCE,0.00017268193187192082,0.00017268193187192082
lag_12__T4__is_walking,0.00017244118498638272,0.00017244118498638272
lag_01__T_damage_last_5s,-0.00017222856695298105,0.00017222856695298105
lag_01__T2__molly,0.00017217945423908532,0.00017217945423908532
lag_01__CT_flash_duration_sum,0.00017202470917254686,0.00017202470917254686
lag_10__CT1__flash_duration,-0.00017074936477001756,0.00017074936477001756
lag_08__T4__molly,-0.00016743205196689814,0.00016743205196689814
lag_14__T_place_SIDEENTRANCE,-0.00016719782433938235,0.00016719782433938235
lag_04__T4__flash_duration,0.0001665292220422998,0.0001665292220422998
lag_07__T3__duck_amount,0.00016522577789146453,0.00016522577789146453
lag_01__hp_diff,0.00016517075709998608,0.00016517075709998608
lag_04__CT_flash_duration_sum,-0.0001649696205276996,0.0001649696205276996
lag_00__T3__flash_duration,-0.0001643883006181568,0.0001643883006181568
lag_04__T_place_TSIDEUPPER,-0.00016419953317381442,0.00016419953317381442
lag_03__T1__is_scoped,-0.00016327857156284153,0.00016327857156284153
lag_06__CT_place_UNKNOWN,-0.00016253576905000955,0.00016253576905000955
lag_02__T1__flash,0.00016248246538452804,0.00016248246538452804
lag_00__T1__flash,0.00016202354163397104,0.00016202354163397104
lag_00__CT3__is_walking,-0.0001620222465135157,0.0001620222465135157
lag_14__CT_macro_OTHER,0.00016109317948576063,0.00016109317948576063
lag_05__T_flashed_players,-0.0001600669784238562,0.0001600669784238562
lag_10__CT3__duck_amount,0.00015942849859129637,0.00015942849859129637
lag_11__T_place_TUNNEL,-0.00015729808364994824,0.00015729808364994824
lag_14__CT_place_UNKNOWN,0.00015705380064900964,0.00015705380064900964
lag_00__CT_macro_OTHER,0.00015687437553424388,0.00015687437553424388
lag_08__T5__is_walking,0.0001564742997288704,0.0001564742997288704
lag_04__CT1__flash,-0.0001564304402563721,0.0001564304402563721
lag_09__T_place_TUNNEL,-0.0001561106473673135,0.0001561106473673135
lag_07__T_place_SIDEENTRANCE,-0.00015552082913927734,0.00015552082913927734
lag_07__T4__molly,-0.00015542207984253764,0.00015542207984253764
lag_00__T1__utility_total,0.00015470595099031925,0.00015470595099031925
lag_03__CT3__is_walking,0.0001541806268505752,0.0001541806268505752
lag_05__T1__is_walking,-0.0001536729687359184,0.0001536729687359184
lag_01__T_place_TSPAWN,-0.00015334936324506998,0.00015334936324506998
lag_01__CT1__flash,-0.00015328318113461137,0.00015328318113461137
lag_12__CT_duck_amount_mean,-0.00015327864093706012,0.00015327864093706012
lag_01__CT_unique_places,0.00015323382103815675,0.00015323382103815675
lag_00__T4__molly,0.00015294049808289856,0.00015294049808289856
lag_02__T_place_RUINS,-0.00015106394130270928,0.00015106394130270928
lag_06__CT_flashes_last_5s,-0.0001500638318248093,0.0001500638318248093
lag_01__CT4__hp,0.00014952851051930338,0.00014952851051930338
lag_10__T1__is_scoped,-0.00014914071653038263,0.00014914071653038263
lag_01__CT5__armor,0.00014890333113726228,0.00014890333113726228
lag_03__T_unique_places,-0.00014837148773949593,0.00014837148773949593
lag_04__T1__is_scoped,-0.0001480661885580048,0.0001480661885580048
lag_14__CT_macro_MID,-0.00014787857071496546,0.00014787857071496546
lag_08__CT3__is_walking,-0.0001476848847232759,0.0001476848847232759
lag_09__T_place_RAMP,-0.0001475889584980905,0.0001475889584980905
lag_06__T1__molly,0.00014701506006531417,0.00014701506006531417
lag_13__CT_place_TOPOFMID,-0.00014696703874506056,0.00014696703874506056
lag_00__centroid_distance_xy,0.00014666769129689783,0.00014666769129689783
lag_04__T_B_site_active_infernos,-0.00014599353016819805,0.00014599353016819805
lag_01__T2__smoke,-0.0001447892573196441,0.0001447892573196441
lag_06__T4__duck_amount,0.00014420643856283277,0.00014420643856283277
lag_07__T_place_RUINS,0.00014412625750992447,0.00014412625750992447
lag_12__T5__is_walking,-0.00014353728329297155,0.00014353728329297155
lag_06__T_place_TUNNEL,-0.0001431452255928889,0.0001431452255928889
lag_11__T_flash_duration_sum,-0.00014218877186067402,0.00014218877186067402
lag_12__T_place_TUNNEL,-0.0001415723963873461,0.0001415723963873461
lag_04__T_place_TSIDELOWER,0.00014154128439258784,0.00014154128439258784
lag_05__T1__is_scoped,-0.00013885859516449273,0.00013885859516449273
lag_03__CT_place_ALLEY,-0.00013821340689901263,0.00013821340689901263
lag_00__T_utility_inv,0.00013817258877679706,0.00013817258877679706
lag_01__T1__has_bomb,-0.00013799082080367953,0.00013799082080367953
lag_15__T_place_TSIDEUPPER,-0.00013737884000875056,0.00013737884000875056
lag_12__CT_flashes_last_5s,-0.00013643082638736814,0.00013643082638736814
lag_12__T4__molly,0.00013627282169181854,0.00013627282169181854
lag_00__T_smoke_inv,0.00013624102575704455,0.00013624102575704455
lag_14__CT4__flash,0.00013616874639410526,0.00013616874639410526
lag_01__centroid_distance_xy,-0.0001354680280201137,0.0001354680280201137
lag_12__T_place_SIDEENTRANCE,-0.00013506993127521127,0.00013506993127521127
lag_00__seconds_in_round,-0.00013445357035379857,0.00013445357035379857
lag_00__CT2__utility_total,0.0001343245239695534,0.0001343245239695534
lag_09__CT_flashes_last_5s,-0.0001343142648693174,0.0001343142648693174
lag_07__T_place_WATER,-0.00013346127525437623,0.00013346127525437623
lag_00__T4__utility_total,0.00013300453429110348,0.00013300453429110348
lag_11__CT_place_MIDDLE,-0.0001329845836153254,0.0001329845836153254
lag_01__CT2__is_walking,0.00013233130448497832,0.00013233130448497832
lag_08__CT_place_UNKNOWN,0.000130988541059196,0.000130988541059196
lag_15__CT1__is_walking,-0.00013008195674046874,0.00013008195674046874
lag_00__CT_macro_MID,0.00012999254977330565,0.00012999254977330565
lag_01__closest_enemy_dist_diff,0.0001294825051445514,0.0001294825051445514
lag_01__CT_closest_enemy_dist,-0.00012891342339571565,0.00012891342339571565
lag_10__CT5__is_walking,-0.00012888084165751934,0.00012888084165751934
lag_11__T_place_RUINS,-0.00012847312609665096,0.00012847312609665096
lag_02__CT4__flash_duration,0.00012844830052927136,0.00012844830052927136
lag_11__T_place_SIDEENTRANCE,-0.0001276483671972528,0.0001276483671972528
lag_04__CT_flashed_players,-0.00012748368317261338,0.00012748368317261338
lag_12__T3__is_walking,0.00012748221342917532,0.00012748221342917532
lag_01__T_kills_last_3s,-0.00012744739069603384,0.00012744739069603384
lag_04__equip_diff,0.00012734255869872868,0.00012734255869872868
lag_15__CT4__utility_total,0.00012645244714803994,0.00012645244714803994
lag_00__T_unique_places,-0.00012642747606150806,0.00012642747606150806
lag_09__T_unique_places,-0.0001263170561287552,0.0001263170561287552
lag_11__CT_duck_amount_mean,-0.00012616378080565482,0.00012616378080565482
lag_00__armor_diff,0.00012509764928836375,0.00012509764928836375
lag_04__T1__is_walking,-0.00012446491746231914,0.00012446491746231914
lag_13__CT_place_UNKNOWN,-0.00012430742208380252,0.00012430742208380252
lag_01__T1__Y,0.0001242791913682595,0.0001242791913682595
lag_03__T_flashes_last_5s,-0.00012351754412520677,0.00012351754412520677
lag_00__T_place_WATER,-0.0001234995579579845,0.0001234995579579845
lag_01__CT_equip_value_sum,0.00012305693235248327,0.00012305693235248327
lag_05__active_infernos_total,-0.00012229853018652648,0.00012229853018652648
lag_00__T5__molly,0.0001218221805174835,0.0001218221805174835
lag_05__T_duck_amount_mean,0.00012172307469882071,0.00012172307469882071
lag_00__T3__is_walking,-0.00012150277325417846,0.00012150277325417846
lag_02__T1__is_scoped,-0.00012142231571488082,0.00012142231571488082
lag_14__CT_macro_A,-0.00012135226279497147,0.00012135226279497147
lag_14__CT_place_BOMBSITEA,-0.00012135226279497147,0.00012135226279497147
lag_01__CT_place_ALLEY,-0.00012117127334931865,0.00012117127334931865
lag_09__T_place_SIDEENTRANCE,-0.00012109683302696794,0.00012109683302696794
lag_00__CT_utility_inv,0.00012046383926644921,0.00012046383926644921
lag_08__T1__is_scoped,-0.00012036799307679757,0.00012036799307679757
lag_14__T4__is_walking,-0.00012028252967866138,0.00012028252967866138
lag_00__CT_duck_amount_mean,-0.0001201497289002873,0.0001201497289002873
lag_10__active_infernos_total,-0.00011978753173025325,0.00011978753173025325
lag_05__CT1__flash,-0.00011966919555561617,0.00011966919555561617
lag_02__CT_place_ALLEY,-0.00011906775034731254,0.00011906775034731254
lag_02__T_shots_fired_sum,-0.00011889062443515286,0.00011889062443515286
lag_06__T_duck_amount_mean,0.0001188363166875206,0.0001188363166875206
lag_01__CT2__hp,0.00011875995551235974,0.00011875995551235974
lag_13__T4__is_walking,0.0001182043706648983,0.0001182043706648983
lag_13__T4__flash_duration,-0.00011807039845734835,0.00011807039845734835
lag_01__CT2__alive,0.00011796617764048278,0.00011796617764048278
lag_10__CT1__flash,-0.00011783259105868638,0.00011783259105868638
lag_01__armor_diff,0.00011736319720512256,0.00011736319720512256
lag_01__CT1__duck_amount,0.00011722974159056321,0.00011722974159056321
lag_11__T1__is_scoped,-0.00011698991875164211,0.00011698991875164211
lag_06__T_place_RUINS,0.00011632304813247174,0.00011632304813247174
lag_01__CT_helmet_count,0.00011610602814471349,0.00011610602814471349
lag_04__CT5__armor,0.00011590166832320392,0.00011590166832320392
lag_01__kill_diff_last_3s,0.00011538735998328775,0.00011538735998328775
