feature,coefficient,abs_coefficient,base_feature,is_utility,utility_family
lag_14__CT_flashes_last_5s,8.649180927022826e-06,8.649180927022826e-06,CT_flashes_last_5s,True,flash
lag_03__CT_place_TMAIN,8.643982255307492e-06,8.643982255307492e-06,CT_place_TMAIN,False,non_utility
lag_12__CT_place_CONTROL,8.643291948828846e-06,8.643291948828846e-06,CT_place_CONTROL,False,non_utility
lag_13__T_flashes_last_5s,8.640401574666612e-06,8.640401574666612e-06,T_flashes_last_5s,True,flash
lag_14__T_place_MAIN,8.636451639176812e-06,8.636451639176812e-06,T_place_MAIN,False,non_utility
lag_02__CT2__armor,8.63290097186109e-06,8.63290097186109e-06,CT2__armor,False,non_utility
lag_00__CT_B_site_active_infernos,-8.631235687062144e-06,8.631235687062144e-06,CT_B_site_active_infernos,True,inferno_molotov
lag_13__CT_place_LOBBY,8.615212209406309e-06,8.615212209406309e-06,CT_place_LOBBY,False,non_utility
lag_01__T_place_TSTAIRS,8.610574695921969e-06,8.610574695921969e-06,T_place_TSTAIRS,False,non_utility
lag_01__T_place_FOUNTAIN,8.607686140749138e-06,8.607686140749138e-06,T_place_FOUNTAIN,False,non_utility
lag_11__CT4__utility_total,-8.594981409260072e-06,8.594981409260072e-06,CT4__utility_total,True,other_utility
lag_15__CT_place_TMAIN,8.583199814893305e-06,8.583199814893305e-06,CT_place_TMAIN,False,non_utility
lag_04__CT_place_OUTSIDELONG,8.569687452109065e-06,8.569687452109065e-06,CT_place_OUTSIDELONG,False,non_utility
lag_13__T_place_DUMPSTER,8.565480129618663e-06,8.565480129618663e-06,T_place_DUMPSTER,False,non_utility
lag_13__T_place_EXTENDEDA,8.551706741855014e-06,8.551706741855014e-06,T_place_EXTENDEDA,False,non_utility
lag_07__T_place_SIDEALLEY,-8.550551683583762e-06,8.550551683583762e-06,T_place_SIDEALLEY,False,non_utility
lag_01__T_place_TUNNELSTAIRS,8.538446309103165e-06,8.538446309103165e-06,T_place_TUNNELSTAIRS,False,non_utility
lag_02__CT_place_OUTSIDELONG,8.537675967090763e-06,8.537675967090763e-06,CT_place_OUTSIDELONG,False,non_utility
lag_13__T4__armor,8.533721484127454e-06,8.533721484127454e-06,T4__armor,False,non_utility
lag_04__T_place_ARAMP,8.525169505446684e-06,8.525169505446684e-06,T_place_ARAMP,False,non_utility
lag_01__T2__is_scoped,8.52088942338014e-06,8.52088942338014e-06,T2__is_scoped,False,non_utility
lag_15__CT2__smoke,-8.498227543896064e-06,8.498227543896064e-06,CT2__smoke,True,smoke
lag_02__CT2__flash_duration,8.498139322909992e-06,8.498139322909992e-06,CT2__flash_duration,True,flash
lag_06__CT_place_LOCKERROOM,8.493530913256109e-06,8.493530913256109e-06,CT_place_LOCKERROOM,False,non_utility
lag_02__T_place_ARAMP,8.493338100379333e-06,8.493338100379333e-06,T_place_ARAMP,False,non_utility
lag_09__CT_place_UPPERTUNNEL,8.493210771121085e-06,8.493210771121085e-06,CT_place_UPPERTUNNEL,False,non_utility
lag_08__CT_place_UPPERTUNNEL,8.49083335197065e-06,8.49083335197065e-06,CT_place_UPPERTUNNEL,False,non_utility
lag_09__CT_place_HUT,8.488362254865933e-06,8.488362254865933e-06,CT_place_HUT,False,non_utility
lag_05__CT_place_OUTSIDELONG,8.486835213261656e-06,8.486835213261656e-06,CT_place_OUTSIDELONG,False,non_utility
lag_08__CT_place_HUT,8.485987564199604e-06,8.485987564199604e-06,CT_place_HUT,False,non_utility
lag_07__CT_place_ELECTRICALBOX,8.484909812978003e-06,8.484909812978003e-06,CT_place_ELECTRICALBOX,False,non_utility
lag_01__T_place_LONGA,8.474007699987851e-06,8.474007699987851e-06,T_place_LONGA,False,non_utility
lag_08__T_place_SIDEALLEY,8.47376122692367e-06,8.47376122692367e-06,T_place_SIDEALLEY,False,non_utility
lag_12__CT_place_OUTSIDELONG,8.470505235891324e-06,8.470505235891324e-06,CT_place_OUTSIDELONG,False,non_utility
lag_10__CT_place_ELECTRICALBOX,8.460109711450059e-06,8.460109711450059e-06,CT_place_ELECTRICALBOX,False,non_utility
lag_11__CT_place_LOCKERROOM,8.451555004285183e-06,8.451555004285183e-06,CT_place_LOCKERROOM,False,non_utility
lag_14__CT_place_ELECTRICALBOX,8.446273568551987e-06,8.446273568551987e-06,CT_place_ELECTRICALBOX,False,non_utility
lag_05__T_place_ARAMP,8.442751095572021e-06,8.442751095572021e-06,T_place_ARAMP,False,non_utility
lag_14__CT_place_CATWALK,8.427098691754509e-06,8.427098691754509e-06,CT_place_CATWALK,False,non_utility
lag_12__T_place_ARAMP,8.42650933918776e-06,8.42650933918776e-06,T_place_ARAMP,False,non_utility
lag_06__CT_place_CONTROL,8.423166946158744e-06,8.423166946158744e-06,CT_place_CONTROL,False,non_utility
lag_10__T5__has_helmet,8.421811799053103e-06,8.421811799053103e-06,T5__has_helmet,False,non_utility
lag_01__CT_place_VENTS,8.41470045997994e-06,8.41470045997994e-06,CT_place_VENTS,False,non_utility
lag_09__T_place_UPPERPARK,8.412491297349334e-06,8.412491297349334e-06,T_place_UPPERPARK,False,non_utility
lag_08__T_place_UPPERPARK,8.410135706071742e-06,8.410135706071742e-06,T_place_UPPERPARK,False,non_utility
lag_13__T_place_STREET,8.387114576180466e-06,8.387114576180466e-06,T_place_STREET,False,non_utility
lag_04__CT_place_TMAIN,8.382256964978296e-06,8.382256964978296e-06,CT_place_TMAIN,False,non_utility
lag_11__CT_place_CONTROL,8.381547559110913e-06,8.381547559110913e-06,CT_place_CONTROL,False,non_utility
lag_02__CT_place_TMAIN,8.350947609869763e-06,8.350947609869763e-06,CT_place_TMAIN,False,non_utility
lag_03__T_alive,8.324292139150202e-06,8.324292139150202e-06,T_alive,False,non_utility
lag_09__T_place_TUNNEL,8.323082511196844e-06,8.323082511196844e-06,T_place_TUNNEL,False,non_utility
lag_08__T_place_TUNNEL,8.320755114255007e-06,8.320755114255007e-06,T_place_TUNNEL,False,non_utility
lag_09__T_place_SIDEHALL,8.308709766424727e-06,8.308709766424727e-06,T_place_SIDEHALL,False,non_utility
lag_08__T_place_SIDEHALL,8.3063878264511e-06,8.3063878264511e-06,T_place_SIDEHALL,False,non_utility
lag_05__CT_place_TMAIN,8.301220077555627e-06,8.301220077555627e-06,CT_place_TMAIN,False,non_utility
lag_09__CT_place_MAINHALL,8.298696229758207e-06,8.298696229758207e-06,CT_place_MAINHALL,False,non_utility
lag_08__CT_place_MAINHALL,8.296371561300475e-06,8.296371561300475e-06,CT_place_MAINHALL,False,non_utility
lag_12__CT_place_TMAIN,8.285245712613687e-06,8.285245712613687e-06,CT_place_TMAIN,False,non_utility
lag_01__CT_place_LONGDOG,8.274405445263255e-06,8.274405445263255e-06,CT_place_LONGDOG,False,non_utility
lag_09__CT_place_HOLE,8.266756594821345e-06,8.266756594821345e-06,CT_place_HOLE,False,non_utility
lag_08__CT_place_HOLE,8.264439202321228e-06,8.264439202321228e-06,CT_place_HOLE,False,non_utility
lag_06__CT_place_OUTSIDELONG,8.25477036414668e-06,8.25477036414668e-06,CT_place_OUTSIDELONG,False,non_utility
lag_07__CT_place_LOCKERROOM,8.252038242062554e-06,8.252038242062554e-06,CT_place_LOCKERROOM,False,non_utility
lag_10__T_macro_MID,8.24678318167571e-06,8.24678318167571e-06,T_macro_MID,False,non_utility
lag_10__CT_place_LOCKERROOM,8.22791571408743e-06,8.22791571408743e-06,CT_place_LOCKERROOM,False,non_utility
lag_14__CT5__duck_amount,8.226608770200983e-06,8.226608770200983e-06,CT5__duck_amount,False,non_utility
lag_14__CT_place_LOCKERROOM,8.214466106437612e-06,8.214466106437612e-06,CT_place_LOCKERROOM,False,non_utility
lag_11__CT_place_OUTSIDELONG,8.213985893235076e-06,8.213985893235076e-06,CT_place_OUTSIDELONG,False,non_utility
lag_06__T_place_ARAMP,8.211895874410402e-06,8.211895874410402e-06,T_place_ARAMP,False,non_utility
lag_14__molly_inv_diff,-8.185177648556419e-06,8.185177648556419e-06,molly_inv_diff,True,non_utility
lag_07__CT_place_CONTROL,8.183672434824985e-06,8.183672434824985e-06,CT_place_CONTROL,False,non_utility
lag_11__T_place_ARAMP,8.17132240626961e-06,8.17132240626961e-06,T_place_ARAMP,False,non_utility
